product_id,name,category,brand,price,description
1,Product 1,Boots,Justin,58.94,"Justin boots designed for comfort, durability, and everyday wear."
2,Product 2,Accessories,Carhartt,106.09,"Carhartt accessories designed for comfort, durability, and everyday wear."
3,Product 3,Boots,Tony Lama,293.07,"Tony Lama boots designed for comfort, durability, and everyday wear."
4,Product 4,Shirts,Ariat,247.22,"Ariat shirts designed for comfort, durability, and everyday wear."
5,Product 5,Accessories,Tony Lama,205.18,"Tony Lama accessories designed for comfort, durability, and everyday wear."
6,Product 6,Shirts,Tony Lama,212.85,"Tony Lama shirts designed for comfort, durability, and everyday wear."
7,Product 7,Shirts,Justin,66.31,"Justin shirts designed for comfort, durability, and everyday wear."
8,Product 8,Shirts,Wrangler,271.83,"Wrangler shirts designed for comfort, durability, and everyday wear."
9,Product 9,Hats,Justin,278.91,"Justin hats designed for comfort, durability, and everyday wear."
10,Product 10,Boots,Tony Lama,48.43,"Tony Lama boots designed for comfort, durability, and everyday wear."
11,Product 11,Accessories,Wrangler,268.33,"Wrangler accessories designed for comfort, durability, and everyday wear."
12,Product 12,Shirts,Justin,212.4,"Justin shirts designed for comfort, durability, and everyday wear."
13,Product 13,Boots,Carhartt,63.4,"Carhartt boots designed for comfort, durability, and everyday wear."
14,Product 14,Jeans,Ariat,155.29,"Ariat jeans designed for comfort, durability, and everyday wear."
15,Product 15,Jeans,Tony Lama,62.01,"Tony Lama jeans designed for comfort, durability, and everyday wear."
16,Product 16,Hats,Tony Lama,200.5,"Tony Lama hats designed for comfort, durability, and everyday wear."
17,Product 17,Jeans,Justin,235.97,"Justin jeans designed for comfort, durability, and everyday wear."
18,Product 18,Hats,Justin,153.1,"Justin hats designed for comfort, durability, and everyday wear."
19,Product 19,Accessories,Carhartt,155.31,"Carhartt accessories designed for comfort, durability, and everyday wear."
20,Product 20,Shirts,Justin,214.2,"Justin shirts designed for comfort, durability, and everyday wear."
21,Product 21,Hats,Ariat,139.95,"Ariat hats designed for comfort, durability, and everyday wear."
22,Product 22,Accessories,Ariat,116.6,"Ariat accessories designed for comfort, durability, and everyday wear."
23,Product 23,Boots,Ariat,253.16,"Ariat boots designed for comfort, durability, and everyday wear."
24,Product 24,Shirts,Carhartt,137.61,"Carhartt shirts designed for comfort, durability, and everyday wear."
25,Product 25,Shirts,Ariat,217.68,"Ariat shirts designed for comfort, durability, and everyday wear."
26,Product 26,Jeans,Wrangler,201.25,"Wrangler jeans designed for comfort, durability, and everyday wear."
27,Product 27,Boots,Justin,282.05,"Justin boots designed for comfort, durability, and everyday wear."
28,Product 28,Hats,Ariat,76.26,"Ariat hats designed for comfort, durability, and everyday wear."
29,Product 29,Shirts,Justin,127.31,"Justin shirts designed for comfort, durability, and everyday wear."
30,Product 30,Accessories,Justin,197.83,"Justin accessories designed for comfort, durability, and everyday wear."
31,Product 31,Jeans,Justin,227.51,"Justin jeans designed for comfort, durability, and everyday wear."
32,Product 32,Boots,Tony Lama,56.5,"Tony Lama boots designed for comfort, durability, and everyday wear."
33,Product 33,Jeans,Ariat,118.23,"Ariat jeans designed for comfort, durability, and everyday wear."
34,Product 34,Shirts,Wrangler,131.97,"Wrangler shirts designed for comfort, durability, and everyday wear."
35,Product 35,Jeans,Carhartt,262.34,"Carhartt jeans designed for comfort, durability, and everyday wear."
36,Product 36,Accessories,Tony Lama,55.66,"Tony Lama accessories designed for comfort, durability, and everyday wear."
37,Product 37,Accessories,Justin,163.66,"Justin accessories designed for comfort, durability, and everyday wear."
38,Product 38,Boots,Tony Lama,175.36,"Tony Lama boots designed for comfort, durability, and everyday wear."
39,Product 39,Shirts,Justin,288.98,"Justin shirts designed for comfort, durability, and everyday wear."
40,Product 40,Accessories,Justin,41.29,"Justin accessories designed for comfort, durability, and everyday wear."
41,Product 41,Accessories,Wrangler,86.75,"Wrangler accessories designed for comfort, durability, and everyday wear."
42,Product 42,Hats,Justin,80.5,"Justin hats designed for comfort, durability, and everyday wear."
43,Product 43,Hats,Tony Lama,62.81,"Tony Lama hats designed for comfort, durability, and everyday wear."
44,Product 44,Hats,Justin,289.65,"Justin hats designed for comfort, durability, and everyday wear."
45,Product 45,Boots,Justin,129.38,"Justin boots designed for comfort, durability, and everyday wear."
46,Product 46,Accessories,Wrangler,296.93,"Wrangler accessories designed for comfort, durability, and everyday wear."
47,Product 47,Shirts,Justin,188.96,"Justin shirts designed for comfort, durability, and everyday wear."
48,Product 48,Jeans,Wrangler,259.42,"Wrangler jeans designed for comfort, durability, and everyday wear."
49,Product 49,Shirts,Justin,280.55,"Justin shirts designed for comfort, durability, and everyday wear."
